"","X","r.id","id","institutionCode","collectionCode","ownerInstitutionCode","collectionID","basisOfRecord","occurrenceID","catalogNumber","otherCatalogNumbers","kingdom","phylum","class","order","family","scientificName","taxonID","scientificNameAuthorship","genus","specificEpithet","taxonRank","infraspecificEpithet","identifiedBy","dateIdentified","identificationReferences","identificationRemarks","taxonRemarks","identificationQualifier","typeStatus","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","endDayOfYear","verbatimEventDate","occurrenceRemarks","habitat","fieldNumber","informationWithheld","dataGeneralizations","dynamicProperties","associatedTaxa","reproductiveCondition","establishmentMeans","lifeStage","sex","individualCount","preparations","country","stateProvince","county","municipality","locality","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","verbatimCoordinates","georeferencedBy","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks","minimumElevationInMeters","maximumElevationInMeters","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimElevation","disposition","language","recordEnteredBy","modified","rights","rightsHolder","accessRights","recordId","references","scinam"
"26764",29827,36610,"1074602","MIL","VP","","b72febed-41ee-41c4-8e65-00424d35d488","PreservedSpecimen","391ff61b-89f4-4f49-93ba-f47fd4c24dce","B117875","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","David A. Kopitzke","DK-70-50","25766",1970,7,17,198,198,"25766","","","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Washington","Kewaskum","","",43.5067,-88.19048,"","","","","","","","",NA,NA,NA,NA,NA,"","","","","43230.35069","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:b870ae95-2fd8-4f6d-b368-3b1a47f38cae","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=1074602",NA
"27109",30196,36984,"188150","MIN","Plants","","f292c83d-305c-4b22-97cc-cd9c72e2931e","PreservedSpecimen","b5760e5e-6b0c-43d6-94c8-2fad20d810c5","453726","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",5308,"L.","Asclepias","syriaca","species","","","","","","","","","Moore, John","45","26109",1971,6,25,176,176,"","","","","",NA,"","","",NA,"",NA,NA,"single sheet","United States","Minnesota","Sherburne","","SE1/4 Sec. 36 W. of Durgin Slough;Sherburne National Wildlife Refuge;035N;28W;36","",45.47981,-93.76881,"WGS84","800","","mcman110 (2016-03-01 15:14:21)","","georef batch tool 2016-03-01; GeoLocate","reviewed - high confidence","",NA,NA,NA,NA,NA,"","","","","43158.44167","http://creativecommons.org/publicdomain/zero/1.0/","J. F. Bell Museum of Natural History","Users are required to adhere to Bell Museum collections policy. Questions may be directed to the curator in charge.","urn:uuid:b5760e5e-6b0c-43d6-94c8-2fad20d810c5","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=188150",NA
"27311",30424,37214,"638151","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3af54c8-f95b-11e2-9dec-002590257708","v0017296WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Hansen, Bruce F.; Hansen, JoAnn","396","26156",1971,8,11,223,223,"","","grassy bank of lake with Linaria vulgaris, Solidago spp., Asparagus, Verbascum and Equisetum","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Kewaunee","","Lake Michigan","",44.3492,-87.53681,"58519","569","T22N R24E sec25","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:2b3908df-bc30-4408-b997-66019b65b63f","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638151",NA
"27314",30429,37219,"638293","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b0bc50-f95b-11e2-9dec-002590257708","v0017438WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Mori, Scott A.","854","26158",1971,8,13,225,225,"","","along roadside","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Wood","","3mi N of Finley on Hwy 80","",44.25643,-90.11119,"60905","1138","T21N R03E sec35","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:85db2d3d-57c2-4868-8977-d5e3fbdbf609","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638293",NA
"27378",30499,37295,"638240","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b04b4e-f95b-11e2-9dec-002590257708","v0017385WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Nee, Mike","4632","26171",1971,8,26,238,238,"","","with Phleum pratense, Solidago graminifolia, S. canadensis in old field","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Sawyer","","N/A","",45.9581,-91.14503,"60886","285","T40N R06W sec08","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:0bb723e3-1141-4f55-9cb3-199ba8382518","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638240",NA
"27672",30812,37615,"538879","UWGB","VP","","e4db476a-383b-410b-be2a-b796ad6f9926","PreservedSpecimen","ab41d4e6-f95b-11e2-9dec-002590257708","UWGB10783","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Freckmann, Sally K.","s.n.","26474",1972,6,24,176,176,"","","","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Portage","","N/A","",44.32827,-89.65748,"16993","1138","T21N R07E sec03","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","42713.55903","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:152a483c-5f5e-4bf5-b893-361ba2d1c671","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=538879",NA
"27673",30813,37616,"638594","WIS","VP","","5ab46e25-26bb-4b06-86d8-af7faf631efe","PreservedSpecimen","b3b3f726-f95b-11e2-9dec-002590257708","v0017739WIS","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","","","","","","","","Freckmann, Sally K.","s.n.","26474",1972,6,24,176,176,"","","sandy field.","","",NA,"common; ex herb UW-Stevens Point","","",NA,"",NA,NA,"","United States","Wisconsin","Portage","","N/A","",44.32827,-89.65748,"35312","1138","T21N R07E sec03","","","GEODISC 2.1 WI Dept. of Natl. Res., Geographic Services Section","","Latitude/Longitude was derived from the Township, Range, Section location. This causes an imprecision.",NA,NA,NA,NA,NA,"","","","","43335.64375","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:2eee5c46-747d-46bf-829d-cca22f373426","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=638594",NA
"27721",30868,37673,"533171","UWEC","VP","","40f4d176-ade8-4036-8c1d-4e6b5ebcf545","PreservedSpecimen","ab320642-f95b-11e2-9dec-002590257708","UWEC02328","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","Iltis, Hugh H.","34700","","","","","","Sommer, Richard","72-768","26486",1972,7,6,188,188,"","","Waste area.","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Portage","","N/A","",44.48302,-89.31453,"15712","","T23N R10E sec08","","","","","",NA,NA,NA,NA,NA,"","","","","42438.87014","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:d9bec5c9-bd34-43bc-9b58-3c7c365593fd","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=533171",NA
"27728",30875,37680,"35979","MIN","Plants","","f292c83d-305c-4b22-97cc-cd9c72e2931e","PreservedSpecimen","84811597-1c58-42df-91b9-e6a29f834ca3","627707","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",5308,"L.","Asclepias","syriaca","species","","","","","","","","","Ownbey, Gerald","4534","26488",1972,7,8,190,190,"","","Old field","","",NA,"","","",NA,"",NA,NA,"","United States","Minnesota","Washington","","Afton Hills, 0.5 mi. S of Afton;;028N;20W;","",44.90717,-92.81202,"WGS84","10000","","mcman110 (2016-03-02 10:13:39)","","georef batch tool 2016-03-02","reviewed - high confidence","",NA,NA,NA,NA,NA,"","","","","42431.46736","http://creativecommons.org/publicdomain/zero/1.0/","J. F. Bell Museum of Natural History","Users are required to adhere to Bell Museum collections policy. Questions may be directed to the curator in charge.","urn:uuid:84811597-1c58-42df-91b9-e6a29f834ca3","https://bellatlas.umn.edu:443/collections/individual/index.php?occid=35979",NA
"27729",30876,37681,"533173","UWEC","VP","","40f4d176-ade8-4036-8c1d-4e6b5ebcf545","PreservedSpecimen","ab320b06-f95b-11e2-9dec-002590257708","UWEC02330","","Plantae","Spermatophyta","Magnoliopsida","Gentianales","Apocynaceae","Asclepias syriaca",2644,"L.","Asclepias","syriaca","species","","Iltis, Hugh H.","34700","","","","","","Sommer, Richard","72-815","26488",1972,7,8,190,190,"","","Roadside.","","",NA,"","","",NA,"",NA,NA,"","United States","Wisconsin","Portage","","N/A","",44.51878,-89.46767,"15272","","T24N R09E sec31","","","","","",NA,NA,NA,NA,NA,"","","","","42438.87014","http://creativecommons.org/publicdomain/zero/1.0/","","","urn:uuid:dc85c100-b3f1-4dbc-bba3-f6d448de79e9","http://wisflora.herbarium.wisc.edu/collections/individual/index.php?occid=533173",NA
