station,station_name,day,year,DOY,gdd_40_86,cumGDD
IA4502,KNOXVILLE,2003-01-01,2003,1,0.5,0.5
IA4502,KNOXVILLE,2003-01-02,2003,2,0,0.5
IA4502,KNOXVILLE,2003-01-03,2003,3,0,0.5
IA4502,KNOXVILLE,2003-01-04,2003,4,0,0.5
IA4502,KNOXVILLE,2003-01-05,2003,5,3,3.5
IA4502,KNOXVILLE,2003-01-06,2003,6,3,6.5
IA4502,KNOXVILLE,2003-01-07,2003,7,0,6.5
IA4502,KNOXVILLE,2003-01-08,2003,8,10.5,17
IA4502,KNOXVILLE,2003-01-09,2003,9,14,31
IA4502,KNOXVILLE,2003-01-10,2003,10,0,31
IA4502,KNOXVILLE,2003-01-11,2003,11,7,38
IA4502,KNOXVILLE,2003-01-12,2003,12,0,38
IA4502,KNOXVILLE,2003-01-13,2003,13,2,40
IA4502,KNOXVILLE,2003-01-14,2003,14,0,40
IA4502,KNOXVILLE,2003-01-15,2003,15,0,40
IA4502,KNOXVILLE,2003-01-16,2003,16,0,40
IA4502,KNOXVILLE,2003-01-17,2003,17,0,40
IA4502,KNOXVILLE,2003-01-18,2003,18,0,40
IA4502,KNOXVILLE,2003-01-19,2003,19,0,40
IA4502,KNOXVILLE,2003-01-20,2003,20,0.5,40.5
IA4502,KNOXVILLE,2003-01-21,2003,21,0,40.5
IA4502,KNOXVILLE,2003-01-22,2003,22,0,40.5
IA4502,KNOXVILLE,2003-01-23,2003,23,0,40.5
IA4502,KNOXVILLE,2003-01-24,2003,24,0,40.5
IA4502,KNOXVILLE,2003-01-25,2003,25,0,40.5
IA4502,KNOXVILLE,2003-01-26,2003,26,0,40.5
IA4502,KNOXVILLE,2003-01-27,2003,27,0,40.5
IA4502,KNOXVILLE,2003-01-28,2003,28,0,40.5
IA4502,KNOXVILLE,2003-01-29,2003,29,0,40.5
IA4502,KNOXVILLE,2003-01-30,2003,30,0,40.5
IA4502,KNOXVILLE,2003-01-31,2003,31,1,41.5
IA4502,KNOXVILLE,2003-02-01,2003,32,0,41.5
IA4502,KNOXVILLE,2003-02-02,2003,33,6.5,48
IA4502,KNOXVILLE,2003-02-03,2003,34,0.5,48.5
IA4502,KNOXVILLE,2003-02-04,2003,35,0,48.5
IA4502,KNOXVILLE,2003-02-05,2003,36,0,48.5
IA4502,KNOXVILLE,2003-02-06,2003,37,0,48.5
IA4502,KNOXVILLE,2003-02-07,2003,38,0,48.5
IA4502,KNOXVILLE,2003-02-08,2003,39,0,48.5
IA4502,KNOXVILLE,2003-02-09,2003,40,0,48.5
IA4502,KNOXVILLE,2003-02-10,2003,41,0,48.5
IA4502,KNOXVILLE,2003-02-11,2003,42,0,48.5
IA4502,KNOXVILLE,2003-02-12,2003,43,1.5,50
IA4502,KNOXVILLE,2003-02-13,2003,44,0,50
IA4502,KNOXVILLE,2003-02-14,2003,45,6,56
IA4502,KNOXVILLE,2003-02-15,2003,46,0,56
IA4502,KNOXVILLE,2003-02-16,2003,47,0,56
IA4502,KNOXVILLE,2003-02-17,2003,48,0,56
IA4502,KNOXVILLE,2003-02-18,2003,49,0,56
IA4502,KNOXVILLE,2003-02-19,2003,50,6,62
IA4502,KNOXVILLE,2003-02-20,2003,51,2,64
IA4502,KNOXVILLE,2003-02-21,2003,52,7,71
IA4502,KNOXVILLE,2003-02-22,2003,53,8.5,79.5
IA4502,KNOXVILLE,2003-02-23,2003,54,0,79.5
IA4502,KNOXVILLE,2003-02-24,2003,55,0,79.5
IA4502,KNOXVILLE,2003-02-25,2003,56,0,79.5
IA4502,KNOXVILLE,2003-02-26,2003,57,0,79.5
IA4502,KNOXVILLE,2003-02-27,2003,58,0,79.5
IA4502,KNOXVILLE,2003-02-28,2003,59,0,79.5
IA4502,KNOXVILLE,2003-03-01,2003,60,0,79.5
IA4502,KNOXVILLE,2003-03-02,2003,61,0,79.5
IA4502,KNOXVILLE,2003-03-03,2003,62,0,79.5
IA4502,KNOXVILLE,2003-03-04,2003,63,1,80.5
IA4502,KNOXVILLE,2003-03-05,2003,64,0,80.5
IA4502,KNOXVILLE,2003-03-06,2003,65,0,80.5
IA4502,KNOXVILLE,2003-03-07,2003,66,0,80.5
IA4502,KNOXVILLE,2003-03-08,2003,67,0,80.5
IA4502,KNOXVILLE,2003-03-09,2003,68,0,80.5
IA4502,KNOXVILLE,2003-03-10,2003,69,0,80.5
IA4502,KNOXVILLE,2003-03-11,2003,70,0,80.5
IA4502,KNOXVILLE,2003-03-12,2003,71,7.5,88
IA4502,KNOXVILLE,2003-03-13,2003,72,1.5,89.5
IA4502,KNOXVILLE,2003-03-14,2003,73,4,93.5
IA4502,KNOXVILLE,2003-03-15,2003,74,10.5,104
IA4502,KNOXVILLE,2003-03-16,2003,75,18,122
IA4502,KNOXVILLE,2003-03-17,2003,76,16.5,138.5
