year,minutes,Date ,count,DOY
2019,26,4/15/2019,0,105
2019,39,4/18/2019,0,108
2019,40,4/19/2019,0,109
2019,42,4/23/2019,0,113
2019,40,5/10/2019,0,130
2019,40,5/13/2019,0,133
2019,39,5/16/2019,0,136
2019,39,5/20/2019,0,140
2019,40,5/22/2019,0,142
2019,40,5/23/2019,0,143
2019,40,5/24/2019,0,144
2019,41,5/29/2019,0,149
2019,42,6/3/2019,0,154
2019,41,6/4/2019,0,155
2019,42,6/5/2019,0,156
2019,40,6/6/2019,0,157
2019,43,6/7/2019,1,158
2019,40,6/17/2019,0,168
2019,40,6/18/2019,0,169
2019,41,6/19/2019,0,170
2019,41,6/20/2019,0,171
2019,41,6/24/2019,0,175
2019,41,6/26/2019,0,177
2019,43,7/1/2019,0,182
2019,91,7/2/2019,0,183
2019,89,7/3/2019,2,184
2019,41,7/8/2019,0,189
2019,42,7/9/2019,0,190
2019,41,7/10/2019,0,191
2019,40,7/11/2019,0,192
2019,41,7/12/2019,0,193
2019,42,7/15/2019,1,196
2019,41,7/18/2019,0,199
2019,40,7/19/2019,0,200
2019,43,7/22/2019,1,203
2019,43,7/23/2019,0,204
2019,42,7/24/2019,0,205
2019,42,7/25/2019,0,206
2019,44,7/29/2019,0,210
2019,42,7/30/2019,0,211
2019,42,7/31/2019,0,212
2019,43,8/1/2019,0,213
2019,41,8/2/2019,1,214
2019,43,8/5/2019,0,217
2019,43,8/6/2019,0,218
2019,43,8/7/2019,0,219
2019,43,8/8/2019,0,220
2019,42,8/9/2019,0,221
2019,44,8/13/2019,1,225
2019,41,8/16/2019,1,228
2019,42,8/19/2019,2,231
2019,43,8/20/2019,1,232
2019,43,8/22/2019,0,234
2019,42,8/26/2019,0,238
2019,42,8/27/2019,0,239
2019,42,8/28/2019,0,240
2019,43,9/6/2019,5,249
2019,42,9/10/2019,0,253
2019,42,9/13/2019,5,256
2019,43,9/20/2019,3,263
2019,43,9/23/2019,13,266
2019,43,9/24/2019,1,267
